Timestamp,What is your Gender?,What is your age?,Name of the company you are currently working on (if you want to disclose),How many employees does your current company have?,What is your highest academic degree?,For how many years have you coded professionally?,What is your current role?,What are your expectations from the Government?,categories,labels
12/19/2020 11:04:47,Male,25,,11 - 50,B.Sc.,2 to 5,Developer,Give proper value to the software products and make the SE industry stable,"Industry Focused, Job Stability and Facilities","recognition of SE industry, ensure job security"
12/19/2020 11:48:25,Prefer not to say,29,Intelligent Machines ,51 - 150,B.Sc.,less than 2,Business Analyst,To be transparent ,Job Stability and Facilities,transparency
12/19/2020 12:02:09,Male,26,Intelligent Machines Limited,11 - 50,College degree (H.S.C.),less than 2,Manager,Will think about all of this type of company and given the opportunity to develop our shelves.,"Industry Focused, Job Availability","focus on SE industry, development opportunity"
12/19/2020 14:46:11,Male,26,Dingi Technologies Ltd.,11 - 50,B.Sc.,2 to 5,Developer,Don't always buy software from foreign vendors. Create a separate identity for software engineers.,Industry Focused,recognition of SE industry
12/19/2020 14:52:43,Male,30,ACI Limited,51 - 150,B.Sc.,2 to 5,Software Architect,Clear the redtape. Ease the taxation process of software company,Job Stability and Facilities,easy tax process
12/20/2020 11:26:45,Male,27,Intelligent Machines LTD.,11 - 50,B.Sc.,2 to 5,Developer,No corruption,Job Stability and Facilities,corruption-free
12/22/2020 19:09:40,Male,28,,51 - 150,B.Sc.,2 to 5,Team Lead,To ensure security of private employee.,Job Stability and Facilities,ensure job security
12/22/2020 20:20:31,Male,26,Business Accelerate BD Ltd,11 - 50,B.Sc.,less than 2,Developer,1. Will create more working opportunities for software engineer 2. Will create more government employment 3. Will take steps for ensuring high speed internet in low costs.,"Job Availability, Job Stability and Facilities","increase work opportunities, increase govt job opportunities, high speed internet with low cost"
12/22/2020 23:29:18,Male,26,Pran RFl group,501 +,B.Sc.,less than 2,R&D Engineer,Government should increase the facilities for software companies. ,Job Stability and Facilities,enhance facilities
12/23/2020 12:37:21,Male,23,Dohatec New Media,151 - 500,B.Sc.,less than 2,Developer,More emphasis on software engineering sector ,Industry Focused,focus on SE industry
12/23/2020 13:39:00,Male,24,"Samsung R&D Institute, Bangladesh ",501 +,B.Sc.,less than 2,Developer,Apply labour law,Job Stability and Facilities,apply labour law
12/24/2020 8:35:28,Male,24,,6 - 10,B.Sc.,less than 2,Developer,"Not much as I am well aware of anything. Just Save your university grads who already proved that they can be real assets to our country. More Tech-based competition, tech hype should be created and also there should be well-discussed curriculum and strategy about how a student will pass from the admission to grad with the highest benefit. A more lucrative and profitable company should be established and the law should be enforced so that existing tech giants like Facebook, Amazon, Apple, Google, Uber will be forced to open their tech branches or data centres in Bangladesh (by data policy) so that both Bangladesh can be benefited by tax and will be gifted by good and competitive tech environment.","Proper Education, Job Availability, Industry Focused","braindrain reduction, tech-based competition, proper curriculam, attract tech-giants"
1/2/2021 1:14:13,Male,28,,151 - 500,B.Sc.,less than 2,Manager,More employee-friendly regulations ,Job Stability and Facilities,employee-friendly regulations
1/2/2021 1:23:52,Male,26,Kona Software Lab Ltd.,51 - 150,B.Sc.,2 to 5,R&D Engineer,Government should consult with professors & MD's of all companies for standardizing software industrial practices & imposing rights & regulations of software industry employees.,"Industry Focused, Job Stability and Facilities","standardizing SE practices, employee-friendly regulations"
1/2/2021 3:22:12,Male,26,CodeCrafters International Ltd.,11 - 50,B.Sc.,2 to 5,Developer,"More fund on Research and Development, create more real CS engineering job role in govt sector.","Proper Education, Job Availability","increase research fund, increase govt job opportunities"
1/3/2021 22:23:22,Male,27,Divergent Technologies Ltd,11 - 50,B.Sc.,2 to 5,Team Lead,Monitor and enhance facilities for the Non Givt Job holders and tax payers,Job Stability and Facilities,enhance facilities
1/4/2021 12:19:03,Male,25,Kona Software Lab LTD.,51 - 150,B.Sc.,2 to 5,R&D Engineer,Government should acknowledge this growing market properly and consider some projects and rules regulations to help growing this market fast and rank high in world.,"Industry Focused, Job Stability and Facilities","recognition of SE industry, employee-friendly regulations"
1/4/2021 12:25:14,Male,40,Kona Software Lab Ltd,51 - 150,B.Sc.,more than 10,R&D Engineer,Spend more in this sector without thinking of a quick turnover revenue.,Job Stability and Facilities,financial support
1/4/2021 12:43:09,Male,26, Kona Software Lab Ltd.,51 - 150,B.Sc.,2 to 5,R&D Engineer,Arrange job fairs and help freshers find the right job,Job Availability,job fairs
1/4/2021 12:45:11,Male,30,Kona Software Lab Limited,51 - 150,B.Sc.,5 to 10,Team Lead,Should encourage us and provide financial support and link up with public universities so that we could help each other.,"Industry Focused, Job Stability and Facilities, Proper Education","encouragement, financial support, link with universities"
