Timestamp,What is your Gender?,What is your age?,Name of the company you are currently working on (if you want to disclose),How many employees does your current company have?,What is your highest academic degree?,For how many years have you coded professionally?,What is your current role?,What are your expectations from your peers in the team?,categories,labels
12/19/2020 11:48:25,Prefer not to say,29,Intelligent Machines ,51 - 150,B.Sc.,less than 2,Business Analyst,"Brainstorming, support ","Learning Environment, Supportive attitude","brainstorming, supportive"
12/19/2020 12:02:09,Male,26,Intelligent Machines Limited,11 - 50,College degree (H.S.C.),less than 2,Manager,Working together,Knack in Standard SE practice,team player
12/19/2020 14:46:11,Male,26,Dingi Technologies Ltd.,11 - 50,B.Sc.,2 to 5,Developer,"Clean code, true to your word (in terms of delivery)",Knack in Standard SE practice,"clean code practitioner, timely delivery"
12/19/2020 14:52:43,Male,30,ACI Limited,51 - 150,B.Sc.,2 to 5,Software Architect,"Clear code, trustworthy, no backbite","Knack in Standard SE practice, Supportive attitude, Sincerity","clean code practitioner, trustworthy, maintain honesty"
12/19/2020 22:54:12,Prefer not to say,28,Intelligent Machine Ltd,51 - 150,B.Sc.,less than 2,Software Architect,being helpful about technical knowledge,Supportive attitude,supportive
12/20/2020 11:26:45,Male,27,Intelligent Machines LTD.,11 - 50,B.Sc.,2 to 5,Developer,Professional ,Knack in Standard SE practice,professional
12/22/2020 18:53:47,Male,25,Innoweb Limited,11 - 50,B.Sc.,less than 2,Developer,good relationship,Supportive attitude,good relationship
12/22/2020 20:20:31,Male,26,Business Accelerate BD Ltd,11 - 50,B.Sc.,less than 2,Developer,1. Will be supportive 2. Will write standard and reusable code. ,"Supportive attitude, Knack in Standard SE practice","supportive, clean code practitioner"
12/22/2020 23:29:18,Male,26,Pran RFl group,501 +,B.Sc.,less than 2,R&D Engineer,I expect him to open up in every situation,Supportive attitude,transparency
12/23/2020 12:20:43,Male,24,,6 - 10,B.Sc.,less than 2,Developer,Should be helpful. Should communicate clearly. Should not throw others under the bus.,"Supportive attitude, Sincerity","supportive, clear communication, trustworthy"
12/23/2020 12:37:21,Male,23,Dohatec New Media,151 - 500,B.Sc.,less than 2,Developer,Grading me based on my performance,Supportive attitude,proper recognition
12/23/2020 13:39:00,Male,24,"Samsung R&D Institute, Bangladesh ",501 +,B.Sc.,less than 2,Developer,"Helpful, friendly relationship ",Supportive attitude,"supportive, good relationship"
12/24/2020 8:35:28,Male,24,,6 - 10,B.Sc.,less than 2,Developer,"friendly, helpful, open, discuss openly about any plan or what should be done.",Supportive attitude,"supportive, transparency"
1/2/2021 1:14:13,Male,28,,151 - 500,B.Sc.,less than 2,Manager,supportive,Supportive attitude,supportive
1/2/2021 1:23:52,Male,26,Kona Software Lab Ltd.,51 - 150,B.Sc.,2 to 5,R&D Engineer,Proper code review from my peers from me to them & vice versa.,Knack in Standard SE practice,code review
1/2/2021 3:22:12,Male,26,CodeCrafters International Ltd.,11 - 50,B.Sc.,2 to 5,Developer,"Friendly, knowledge sharing, Workload sharing, No competition, etc ","Supportive attitude, Learning Environment","good behavior, knowledge sharing, supportive"
1/3/2021 22:23:22,Male,27,Divergent Technologies Ltd,11 - 50,B.Sc.,2 to 5,Team Lead,To be helpful,Supportive attitude,supportive
1/4/2021 11:31:03,Male,26,KONA Software Lab Ltd.,51 - 150,B.Sc.,2 to 5,R&D Engineer,Friendly and ready to help in team work achievements; Take ownership and responsibility of individual tasks. Not a person who plays 'blame game',"Supportive attitude, Knack in Standard SE practice, Sincerity","good behavior, supportive, responsible"
1/4/2021 12:19:03,Male,25,Kona Software Lab LTD.,51 - 150,B.Sc.,2 to 5,R&D Engineer,Cooperative friendly and egger to share knowledge with a great understandability.,"Supportive attitude, Learning Environment","supportive, knowledge sharing"
1/4/2021 12:25:14,Male,40,Kona Software Lab Ltd,51 - 150,B.Sc.,more than 10,R&D Engineer,"Collaborative, passionate and always stress free.","Supportive attitude, Knack in Standard SE practice, Sincerity","supportive, passionate"
1/4/2021 12:43:09,Male,26, Kona Software Lab Ltd.,51 - 150,B.Sc.,2 to 5,R&D Engineer,Communicate openly and share technical knowledge,"Supportive attitude, Learning Environment","transparency, knowledge sharing"
1/4/2021 12:45:11,Male,30,Kona Software Lab Limited,51 - 150,B.Sc.,5 to 10,Team Lead,Should increase technical knowledge,Learning Environment,tech learner
1/4/2021 12:54:23,Male,31,Kona Software Lab Limited ,51 - 150,M.Sc.,5 to 10,R&D Engineer,Good Communication and collaboration,Supportive attitude,"clear communication, supportive"
1/4/2021 12:57:02,Male,29,Ksl,51 - 150,B.Sc.,2 to 5,R&D Engineer,Focus on achieving a complete goal.,Knack in Standard SE practice,achieving goal
1/4/2021 13:00:30,Male,25,Kona software lab limited ,51 - 150,B.Sc.,2 to 5,Developer,Better understanding and proper implementation ,"Learning Environment, Knack in Standard SE practice","better understanding, quality work"
1/4/2021 13:16:44,Male,30,Kona Software lab,51 - 150,B.Sc.,5 to 10,Team Lead,"Quality work, Team player",Knack in Standard SE practice,"quality work, team player"
1/4/2021 13:28:03,Male,36,,51 - 150,M.Sc.,5 to 10,Team Lead,"Follow the company standard rules.
They should think themselves as a part of the project. They need to know/understand the requirements properly. They should not introduce any new implementation from his own without discussing the team. They need to check his own implementation properly. ","Knack in Standard SE practice, Sincerity","sincere, team player, quality work"
1/4/2021 19:05:10,Male,25,Kona Software Labs Limited,51 - 150,B.Sc.,less than 2,Developer,Cross functional support and positive synergy with proper understanding,"Supportive attitude, Knack in Standard SE practice","supportive, team player"
1/4/2021 22:11:32,Male,25,,51 - 150,B.Sc.,less than 2,R&D Engineer,Co operative ,Supportive attitude,supportive
